,City,Latitude,Longitude,Humidity,Wind_Speed,Temperature,Cloudiness
0,São Filipe,14.9,-24.5,81,0.64,36.812,100
1,East London,-33.02,27.91,31,5.44,35.339999999999996,0
2,Nikolskoye,59.7,30.79,87,1.0,34.144000000000005,0
3,Punta Arenas,-53.15,-70.92,86,9.3,32.186,22
4,Qasigiannguit,68.82,-51.19,81,1.0,33.42999999999999,11
5,Petropavlovsk-Kamchatskiy,53.05,158.65,68,5.0,35.83,20
6,Hermanus,-34.42,19.23,71,5.36,34.80800000000001,86
7,Saint-Pierre,-21.34,55.48,68,2.6,35.158,2
8,Rikitea,-23.12,-134.97,75,5.89,36.355999999999995,54
9,Safi,32.3,-9.24,91,5.99,36.226,0
10,Mataura,-46.19,168.86,83,2.2,33.474000000000004,83
11,Geraldton,-28.77,114.6,68,5.7,35.83,40
12,Albany,42.6,-73.97,89,2.21,36.684000000000005,90
13,Evensk,61.95,159.23,73,4.3,35.622,11
14,Dikson,73.51,80.55,97,2.35,33.001999999999995,100
15,Port Alfred,-33.59,26.89,32,4.25,35.212,0
16,Atuona,-9.8,-139.03,77,8.05,37.279999999999994,4
17,Norrtälje,59.76,18.7,93,1.5,33.884,2
18,Puerto Ayora,-0.74,-90.35,93,0.45,36.029999999999994,46
19,Asău,46.43,26.4,76,8.2,34.616,80
20,Katsuura,35.13,140.3,69,0.45,36.604,99
21,Kamenka,51.32,42.77,79,0.89,35.91799999999999,65
22,Upernavik,72.79,-56.15,89,3.92,33.06,77
23,Ancud,-41.87,-73.82,77,2.1,32.08200000000001,20
24,Ulladulla,-35.35,150.47,67,2.1,34.65,40
25,Petites Anses,15.85,-61.64,83,2.1,37.42999999999999,20
26,San Policarpo,12.18,125.51,70,3.16,37.874,100
27,Yellowknife,62.46,-114.35,43,3.1,36.266,75
28,Kavieng,-2.57,150.8,65,2.0,37.874,51
29,Yining,29.04,114.56,68,1.71,38.23,99
30,Vaini,-21.2,-175.2,73,5.7,36.629999999999995,75
31,Qaanaaq,77.48,-69.36,69,0.62,33.272000000000006,97
32,Osijek,45.55,18.69,93,1.5,34.45,0
