,Country,Humidity,City,Name,Latitude,Longitude,Adress
0, Western Australia,16,Port Hedland,ibis Styles Port Hedland,-20.3087,118.610356,"Cnr Lukis And, McGregor St, Port Hedland"
1, Iran,41,Sīrjān,Tourism Hotel,29.4529316,55.67285769999999,Sirjan
2, Western Australia,20,Kununurra,Hotel Kununurra,-15.77626,128.73845,"37 Messmate Way, Kununurra"
3,27F8+48 Umluj Saudi Arabia,73,Umluj,Juman Hotel,25.022764,37.26586,"King Abdullah Rd, Umluj"
4, China,31,Changji,7Days Inn Changji Oriental Plaza,44.01928849999999,87.3086634,"275 Yan'an N Rd, Changji, Changji Hui Autonomous Prefecture"
5, Libya,30,Ubari,فندق أوباري,26.5966876,12.7660784,"Unnamed Road, أوباري،"
6, Colombia,61,Coyaima,Hotel Central,3.798498,-75.1944838,Cra. 4A #3-2 a 3-92
7, Russia,42,Marks,"Cafe Hotel ""Ruslan""",51.6953359,46.7355801,"кольцо, Marks"
8, Mexico,70,San Quintín,Old Mill Hotel,30.485077,-115.9772322,Ensenada
9, Mexico,63,Guerrero Negro,Hotel Los Caracoles,27.9677576,-114.0283356,"Calzada, De La República s/n, Estado 30, Guerrero Negro"
10, Brazil,80,Santa Isabel Rio Negro,Hotel Ayuana,-0.4160499,-65.0198703,Santa Isabel do Rio Negro
11, Iran,35,Shahrud,Paramida hotel,36.3835448,54.93363050000001,"Shahroud, بلوار دانشگاه هتل پارامیدا، خیابان تهران"
12, Libya,83,Tūkrah,قاعدة فيقا فيقا,32.5338173,20.5937098,توكرة،
13, French Guiana,90,Grand-Santi,Hotel La Villa Couacou,4.2507342,-54.38225,Grand-Santi
14, Portugal,64,Colares,Penha Longa Resort,38.7612989,-9.3968027,"Estrada da Lagoa Azul Linhó, Lisboa"
15, Iran,64,Khāsh,خوابگاه دانشجویی خاش,28.2096812,61.1987202,Khash
16, French Guiana,84,Mana,LE SAMANA,5.6599906,-53.7770331,"18 rue Bruno Aubert, Mana"
17, Egypt,47,Assiut,Florence Hotel Assiut,27.1878408,31.1931653,"1 Kornish Al Nile (Al Thawra), Asyut Second"
18, Kenya,82,Lamu,The majlis lamu hotel,-2.2989802,40.9203762,"Lamu West, Lamu"
19, Northern Territory,11,Katherine,ibis Styles Katherine,-14.471673,132.290457,"9 Cyprus St, Katherine"
20, Iran,22,Torbat-e Jām,Pardisan Hotel 🏩,35.2412795,60.6171231,"Torbat-e-Jam, 97"
21, Israel,70,Kiryat Gat,Desert Gat,31.60304309999999,34.7637262,"Sderot HaAtsma'ut 134, Kiryat Gat"
22, Spain,64,Antequera,Hotel Antequera,37.02047659999999,-4.5740828,"Av. Alcalde José María González, Antequera"
23, Brazil,81,São João da Barra,Pousada Kactus,-21.665366,-41.023183,"R. Q - Chapéu do Sol, São João da Barra"
