,0
0,sao filipe
1,east london
2,nikolskoye
3,punta arenas
4,qasigiannguit
5,petropavlovsk-kamchatskiy
6,hermanus
7,saint-pierre
8,rikitea
9,ust-bolsheretsk
10,asfi
11,mataura
12,geraldton
13,albany
14,evensk
15,dikson
16,port alfred
17,atuona
18,norrtalje
19,puerto ayora
20,asau
21,katsuura
22,kamenka
23,wampusirpi
24,upernavik
25,ancud
26,ulladulla
27,terre-de-bas
28,san policarpo
29,yellowknife
30,taolanaro
31,kavieng
32,fevralsk
33,yining
34,vaini
35,qaanaaq
36,osijek
37,panaba
38,victoria
39,kaitangata
40,iqaluit
41,kodiak
42,hami
43,ilulissat
44,simao
45,ponta do sol
46,toamasina
47,antofagasta
48,ushuaia
49,amderma
50,rocky mountain house
51,hasaki
52,berlevag
53,torbay
54,khandyga
55,tsihombe
56,luanda
57,lavrentiya
58,bahia blanca
59,hilo
60,clyde river
61,cherskiy
62,tonj
63,souillac
64,portland
65,vereeniging
66,barentsburg
67,port blair
68,kawana waters
69,cap malheureux
70,lucea
71,saint george
72,hambantota
73,berdigestyakh
74,busselton
75,pisco
76,mirzapur
77,talcahuano
78,mugur-aksy
79,bluff
80,meybod
81,jamestown
82,olafsvik
83,esperance
84,taksimo
85,comodoro rivadavia
86,illoqqortoormiut
87,saint-philippe
88,tooele
89,moerai
90,hobart
91,provideniya
92,todos santos
93,mahebourg
94,belyy yar
95,santa maria
96,kapaa
97,beringovskiy
98,butaritari
99,tiksi
100,belushya guba
101,camabatela
102,ashcroft
103,escanaba
104,arenapolis
105,saskylakh
106,orange cove
107,aflu
108,touros
109,bambous virieux
110,tuktoyaktuk
111,luderitz
112,louisbourg
113,chuy
114,pavlodar
115,huilong
116,yuzhno-kurilsk
117,kruisfontein
118,georgetown
119,carnarvon
120,griffith
121,solnechnyy
122,chokurdakh
123,qui nhon
124,agadez
125,eyl
126,mar del plata
127,buraydah
128,airai
129,thunder bay
130,castro
131,bermeo
132,samusu
133,port elizabeth
134,anloga
135,akdepe
136,attawapiskat
137,oktyabrskoye
138,soyo
139,deputatskiy
140,lakes entrance
141,karratha
142,pevek
143,talnakh
144,grand gaube
145,dolbeau
146,san cristobal
147,arraial do cabo
148,jahangirpur
149,amparai
150,banda aceh
151,vila franca do campo
152,erzin
153,bengkulu
154,bonfim
155,adrar
156,bethel
157,kisangani
158,seoul
159,tawau
160,tumannyy
161,nelson bay
162,lebu
163,sorvag
164,tessalit
165,rio de loba
166,scarborough
167,yulara
168,severo-kurilsk
169,saryshagan
170,bagnols-sur-ceze
171,biak
172,new norfolk
173,bulawayo
174,newnan
175,angelholm
176,plettenberg bay
177,umzimvubu
178,vao
179,hargeysa
180,abbeville
181,subaytilah
182,nanortalik
183,sitka
184,hofn
185,narsaq
186,taozhuang
187,erdenet
188,biryusinsk
189,acarau
190,champerico
191,nhulunbuy
192,sooke
193,mopti
194,bakchar
195,mazyr
196,ondorhaan
197,komsomolskiy
198,nouadhibou
199,san quintin
200,tinskoy
201,cape town
202,leningradskiy
203,tasiilaq
204,yanan
205,londonderry
206,padang
207,alice springs
208,te anau
209,lutkun
210,mana
211,binga
212,bom jardim
213,wahran
214,mwinilunga
215,namibe
216,ampanihy
217,karatau
218,montrose
219,hovd
220,mitsamiouli
221,takoradi
222,ye
223,barranca
224,tiarei
225,baymak
226,nara
227,skibbereen
228,progress
229,hamilton
230,broome
231,tuatapere
232,arman
233,pavilosta
234,satitoa
235,aykhal
236,lolua
237,avarua
238,nizhneyansk
239,kodinsk
240,shache
241,sechura
242,rockland
243,araouane
244,sentyabrskiy
245,camacha
246,ucluelet
247,moyale
248,fortuna
249,camopi
250,westport
251,mezen
252,conde
253,moranbah
254,lorengau
255,xuddur
256,roebourne
257,fukue
258,guadalupe
259,marquette
260,najran
261,ogaminana
262,cockburn town
263,svetlyy
264,felidhoo
265,liaozhong
266,kuche
267,kaniama
268,mergui
269,vostok
270,palabuhanratu
271,salalah
272,atikokan
273,tabou
274,bindura
275,byron bay
276,guerrero negro
277,bredasdorp
278,hammerfest
279,bilibino
280,dahra
281,quatre cocos
282,vanino
283,matara
284,blind river
285,mys shmidta
286,campbell river
287,svetlogorsk
288,yar-sale
289,mehamn
290,taltal
291,arsk
292,merritt island
293,kalachinsk
294,biltine
295,lompoc
296,chiungutwa
297,kuching
298,singaraja
299,requena
300,alofi
301,sabha
302,zorgo
303,koshurnikovo
304,port-gentil
305,puerto escondido
306,upington
307,palmer
308,ribeira grande
309,sakakah
310,bend
311,saleaula
312,am timan
313,freeport
314,ngukurr
315,senanga
316,pangnirtung
317,ponta delgada
318,mount gambier
319,nome
320,hithadhoo
321,urengoy
322,bathsheba
323,ukiah
324,buchanan
325,augusta
326,rawson
327,pinega
328,vaitupu
329,coquimbo
330,bodden town
331,canmore
332,samdrup jongkhar
333,dzhubga
334,baykit
335,cidreira
336,rettikhovka
337,muros
338,doha
339,konstantinovka
340,grand river south east
341,zhigansk
342,revelstoke
343,porto da folha
344,longyearbyen
345,lesogorsk
346,horta
347,alta floresta
348,san carlos de bariloche
349,shenzhen
350,tamiahua
351,port augusta
352,ijaki
353,ust-nera
354,barrow
355,rovaniemi
356,lyubeshiv
357,lima
358,nemuro
359,higuey
360,tura
361,nuuk
362,meulaboh
363,grindavik
364,nguiu
365,landeck
366,kibre mengist
367,vardo
368,garoua
369,guabito
370,danville
371,rochester
372,anadyr
373,itaituba
374,pedernales
375,dhemaji
376,makueni
377,lago da pedra
378,khatanga
379,sorong
380,toulepleu
381,henties bay
382,ko samui
383,grants
384,chandler
385,kayanga
386,ribeira do pombal
387,russell
388,zlitan
389,aktash
390,chililabombwe
391,iberia
392,youkounkoun
393,san nicolas
394,hihifo
395,kasane
396,scottsbluff
397,sao lourenco do sul
398,vilyuysk
399,kholm
400,opuwo
401,lobito
402,port macquarie
403,aksarka
404,utinga
405,honiara
406,jiaozuo
407,cabo san lucas
408,zachagansk
409,eirunepe
410,doctor pedro p. pena
411,ainazi
412,ucar
413,nichinan
414,agropoli
415,okhotsk
416,barinas
417,mongoumba
418,ubinskoye
419,sao joao da barra
420,ketchikan
421,yumen
422,bouloupari
423,oleksandrivka
424,kahului
425,ciras
426,dryden
427,rapid valley
428,douglas
429,buala
430,calabozo
431,husavik
432,honningsvag
433,isangel
434,shirokiy
435,chicama
436,molochnoye
437,yarensk
438,mpulungu
439,mastung
440,murmino
441,turbat
442,shimoda
443,teguise
444,dondo
445,alzamay
446,bacungan
447,antalaha
448,cayenne
449,paka
450,sola
451,fairbanks
452,road town
453,atar
454,taywarah
455,petrovac
456,dolores
457,bourges
458,tuy hoa
459,ostrovnoy
460,ayame
461,khandbari
462,coracao de jesus
463,turtas
464,pahrump
465,shenjiamen
466,kaeo
467,kautokeino
468,brae
469,shahr-e babak
470,mackay
471,atka
472,norman wells
473,saldanha
474,springdale
475,katha
476,mentougou
477,ulcinj
478,poum
479,laguna
480,lata
481,tevriz
482,tommot
483,kasongo-lunda
484,streator
485,tomatlan
486,poplar bluff
487,nizhniy chir
488,teitipac
489,rawannawi
490,muzhi
491,pacific grove
492,burkhala
493,kirakira
494,san luis
495,verkhoyansk
496,xining
497,ahuimanu
498,gat
499,gospic
500,north battleford
501,otradnoye
502,aguada
503,tromso
504,emba
505,saint-ambroise
506,santiago
507,palmas bellas
508,suao
509,nago
510,vuktyl
511,huarmey
512,codrington
513,berdyaush
514,esso
515,sinnamary
516,stawell
517,savelugu
518,ciudad ojeda
519,faanui
520,constitucion
521,munai
522,zhezkazgan
523,meadow lake
524,santa rosa
525,marcona
526,ginir
527,houma
528,la grande
529,ishige
530,kalmunai
531,christiansburg
532,pemberton
533,bafq
534,rock sound
535,drumnadrochit
536,mae sai
537,ulaanbaatar
538,torbat-e jam
539,saint marys
540,micheweni
541,hokitika
542,seddon
543,warqla
544,high level
545,margate
546,barra do garcas
547,timra
548,hobyo
549,ha tinh
550,port pirie
551,linxia
552,athieme
553,lichinga
554,udachnyy
555,pringsewu
556,esna
557,san juan
558,ouro preto do oeste
559,eskasem
560,thompson
561,kindu
562,arlit
563,avera
564,kaspiyskiy
565,santiago del estero
566,manbij
567,caravelas
568,waipawa
569,sao miguel do araguaia
570,necochea
571,la reforma
572,gushikawa
573,nueva guinea
574,srivardhan
575,tokur
576,lasa
577,iwanai
578,aswan
579,huoqiu
580,acajutla
581,siocon
582,sidi ali
583,koungou
584,kimbe
585,umea
586,vestmannaeyjar
587,vicksburg
588,northam
589,mucurapo
590,jiujiang
591,gao
592,sao jose da coroa grande
593,hailey
594,college
595,ilek
596,kytlym
597,alenquer
598,purpe
599,chapais
600,poya
601,sorokino
602,stromness
603,kenai
604,belmonte
605,asasa
606,maceio
607,athabasca
608,sovetskaya gavan
609,high prairie
610,yasnyy
611,verkhnyaya toyma
612,namatanai
613,kamenskoye
614,novikovo
615,vestmanna
616,ola
617,vesoul
618,vrangel
619,svobodnyy
620,umm durman
621,haines junction
622,dutlwe
623,pacatuba
624,faya
