,0
0,port alfred
1,yatou
2,guerrero negro
3,ushuaia
4,albany
5,souillac
6,mareeba
7,torbay
8,nichlaul
9,barra do corda
10,hithadhoo
11,belushya guba
12,mataura
13,caravelas
14,hofn
15,new norfolk
16,caramay
17,sitka
18,barrow
19,kapaa
20,qaanaaq
21,arraial do cabo
22,lapua
23,hobart
24,pictou
25,bubaque
26,bentiu
27,narsaq
28,punta arenas
29,werder
30,illoqqortoormiut
31,tura
32,nador
33,buqayq
34,cape town
35,kaitangata
36,ucluelet
37,hutang
38,rikitea
39,taolanaro
40,castro
41,jamestown
42,rocha
43,busselton
44,verkhoyansk
45,alta floresta
46,kodiak
47,dingle
48,mar del plata
49,batagay-alyta
50,hermanus
51,beringovskiy
52,vaini
53,north platte
54,de panne
55,olafsvik
56,goderich
57,yellowknife
58,la grande
59,lata
60,longonjo
61,butaritari
62,makakilo city
63,thompson
64,bethel
65,mys shmidta
66,coahuayana
67,diego de almagro
68,puerto ayora
69,bluff
70,harwich
71,moville
72,maltahohe
73,ugoofaaru
74,fortuna
75,bredasdorp
76,masuguru
77,buraydah
78,longyearbyen
79,coite do noia
80,richards bay
81,tabukiniberu
82,balkanabat
83,east london
84,sao filipe
85,samalaeulu
86,lebowakgomo
87,stoyba
88,lebu
89,cumberland
90,saint-philippe
91,pevek
92,mamallapuram
93,victoria
94,west helena
95,tasiilaq
96,haines junction
97,bonavista
98,gorom-gorom
99,filingue
100,alice springs
101,norman wells
102,wageningen
103,iqaluit
104,codrington
105,hilo
106,kuryk
107,sentyabrskiy
108,voh
109,georgetown
110,olney
111,atuona
112,mahebourg
113,ancud
114,cherskiy
115,saldanha
116,nanortalik
117,tabiauea
118,saskylakh
119,chaa-khol
120,alofi
121,beihai
122,port hawkesbury
123,irawan
124,shelburne
125,nikolskoye
126,cabedelo
127,puerto narino
128,vostok
129,hasaki
130,gat
131,erenhot
132,kavieng
133,nizhneyansk
134,port elizabeth
135,sao pedro do sul
136,tulsipur
137,beachwood
138,upernavik
139,ivankiv
140,buala
141,broome
142,vestmannaeyjar
143,cravo norte
144,ribeira grande
145,namibe
146,uribia
147,tuktoyaktuk
148,palmer
149,chuy
150,bengkulu
151,omboue
152,shu
153,varadero
154,tsihombe
155,emirdag
156,taoudenni
157,nouadhibou
158,malindi
159,meadow lake
160,havre-saint-pierre
161,san policarpo
162,merrill
163,burley
164,asau
165,toliary
166,luderitz
167,chokurdakh
168,vardo
169,shimoda
170,gonzaga
171,carnarvon
172,kamaishi
173,pleshanovo
174,dimovo
175,ambam
176,sobradinho
177,argentan
178,provideniya
179,ridgeland
180,jaguaruna
181,khalkhal
182,raga
183,fukue
184,srednekolymsk
185,jaguaribe
186,mercedes
