,Country,Humidity,City,Name,Latitude,Longitude,Adress
0, Turkmenistan,70,Balkanabat,Nebitchi Hotel,39.5146732,54.3598955,Balkanabat
1, New Caledonia,45,Voh,Le gîte du Koniambo,-20.9833116,164.7222142,"Lot 1 pie section Koniambo Nord Ouest BP : 653, Voh"
2, Kazakhstan,65,Komsomolets,Gostinitsa Zhemchuzhina,53.751113,62.0544669,Karabalyk
3, United States,47,Laguna,Hilton Garden Inn Sacramento Elk Grove,38.422528,-121.397573,"9241 Laguna Springs Dr, Elk Grove"
4, Egypt,25,Aswān,Sofitel Legend Old Cataract Aswan,24.0942418,32.8973505,"Abtal El Tahrir, Street"
5, Queensland,46,Townsville,Mercure Townsville,-19.2714924,146.7859224,"166 Woolcock St, Townsville"
6, Spain,88,Puerto del Rosario,Hotel El Mirador,28.473816,-13.865657,"Ctra. Playa Blanca, 45, Puerto del Rosario"
7, Libya,71,Sirte,City Hotel,31.2064378,16.5889102,رقم 1، Sirte
8, China,50,Linxia Chengguanzhen,Hehuang Mingzhu International Hotel,35.598524,103.245118,"Linxia, Linxia Hui Autonomous Prefecture, Nanbinhe E Rd, 南滨河路东路"
9, Brazil,57,São João dos Patos,HOTEL SÃO CRISTOVÃO,-6.498315100000001,-43.7015007,"R. João Pessoa, 175, São João dos Patos"
10, Brazil,30,Diamantino,Hotel Villa Dos parecis,-14.4095658,-56.4476934,"Rua Suely Terezinha Dias Mendes n 482- Bairr o Jardim Guaraná - Centro, Diamantino"
11, Malta,88,Marsaxlokk,Cugó Gran Macina Grand Harbour,35.8853952,14.5200067,"Sheer Bastion, Triq Il-31 Ta'Marzu, L-Isla"
12, China,65,Kuandian,Wanhao Business Hotel,40.7247047,124.7819671,"Dandong, Kuandian Manchu Autonomous County, 中心路中心路南端6组7号"
13, New Caledonia,41,Noumea,Hilton Noumea La Promenade Residences,-22.3018092,166.446066,"109 Prom. Roger Laroque, Nouméa"
14, Russia,55,Kizilskoye,Motel Region,52.7571038,58.89012539999999,Kizil'skoye
15, Brazil,83,Acaraú,Hotel Acaraú Riviera,-2.8884219,-40.1152361,"R. Pref. Raimundo Rocha, 477 - Centro, Acaraú"
