,City,Latitude,Longitude,Humidity,Wind_Speed,TemperatureK,Cloudiness,Temperature
0,Port Alfred,-33.59,26.89,39,3.12,286.64,0,56
1,Yatou,37.15,122.38,60,5.11,298.78,46,78
2,Guerrero Negro,27.98,-114.06,84,6.87,292.84,0,67
3,Ushuaia,-54.8,-68.3,74,2.1,271.15,0,28
4,Albany,42.6,-73.97,83,5.12,292.01,100,65
5,Souillac,-20.52,57.52,77,3.1,294.15,40,69
6,Mareeba,-17.0,145.43,47,3.6,297.66,53,76
7,Torbay,47.67,-52.73,100,7.7,282.26,90,48
8,Nichlaul,27.32,83.73,71,4.86,304.09,10,87
9,Barra do Corda,-5.5,-45.25,61,0.91,296.28,3,73
10,Hithadhoo,-0.6,73.08,72,4.32,302.16,94,84
11,Mataura,-46.19,168.86,83,1.34,277.04,32,39
12,Caravelas,-17.71,-39.25,77,3.76,294.68,19,70
13,Hofn,64.25,-15.21,87,7.52,284.08,98,51
14,New Norfolk,-42.78,147.06,83,1.2,280.87,0,45
15,Caramay,10.18,119.24,65,3.38,303.42,79,86
16,Sitka,57.05,-135.33,77,4.1,288.15,90,58
17,Barrow,71.29,-156.79,74,6.2,275.15,90,35
18,Kapaa,22.08,-159.32,70,4.1,301.29,20,82
19,Qaanaaq,77.48,-69.36,74,1.51,279.3,55,43
20,Arraial do Cabo,-22.97,-42.03,82,2.6,291.15,20,64
21,Lapua,62.97,23.01,95,0.51,283.15,10,49
22,Hobart,-42.88,147.33,66,3.6,282.13,20,48
23,Pictou,45.68,-62.72,93,1.57,284.13,87,51
24,Bubaque,11.28,-15.83,87,8.59,298.91,100,78
25,Bentiu,9.23,29.83,94,1.68,295.64,100,72
26,Narsaq,60.92,-46.05,35,3.6,286.15,22,55
27,Punta Arenas,-53.15,-70.92,86,2.1,272.09,0,30
28,Werder,52.38,12.93,75,2.18,285.11,0,53
29,Tura,25.52,90.22,91,2.66,299.9,99,80
30,Nador,35.17,-2.93,88,1.0,295.79,90,72
31,Cape Town,-33.93,18.42,93,2.1,280.61,0,45
32,Kaitangata,-46.28,169.85,58,3.58,282.04,30,48
